k_line,orient_line,coor_x_1,coor_y_1,coor_x_2,coor_y_2
241,1,-20.5346749523184,13.0687298113336,10.3,13.0687298113336
242,1,-20.5346749523184,13.1687298113336,10.3,13.1687298113336
243,1,-20.5346749523184,13.2687298113336,10.3,13.2687298113336
244,1,-20.5346749523184,13.3687298113336,10.3,13.3687298113336
245,1,-20.5346749523184,13.4687298113336,10.3,13.4687298113336
246,1,-20.5346749523184,13.5687298113336,10.3,13.5687298113336
247,1,-20.5346749523184,13.6687298113336,10.3,13.6687298113336
248,1,-20.5346749523184,13.7687298113336,10.3,13.7687298113336
249,1,-20.5346749523184,13.8687298113336,10.3,13.8687298113336
250,1,-20.5346749523184,13.9687298113336,10.3,13.9687298113336
251,1,-20.5346749523184,14.0687298113336,10.3,14.0687298113336
252,1,-20.5346749523184,14.1687298113336,10.3,14.1687298113336
253,1,-20.5346749523184,14.2687298113336,10.3,14.2687298113336
254,1,-20.5346749523184,14.3687298113336,10.3,14.3687298113336
255,1,-20.5346749523184,14.4687298113336,10.3,14.4687298113336
256,1,-20.5346749523184,14.5687298113336,10.3,14.5687298113336
257,1,-20.5346749523184,14.6687298113336,10.3,14.6687298113336
258,1,-20.5346749523184,14.7687298113336,10.3,14.7687298113336
259,1,-20.5346749523184,14.8687298113336,10.3,14.8687298113336
260,1,-20.5346749523184,14.9687298113336,10.3,14.9687298113336
261,1,-20.5346749523184,15.0687298113336,10.3,15.0687298113336
262,1,-20.5346749523184,15.1687298113336,10.3,15.1687298113336
263,1,-20.5346749523184,15.2687298113336,10.3,15.2687298113336
264,1,-20.5346749523184,15.3687298113336,10.3,15.3687298113336
265,1,-20.5346749523184,15.4687298113336,10.3,15.4687298113336
266,1,-20.5346749523184,15.5687298113336,10.3,15.5687298113336
267,1,-20.5346749523184,15.6687298113336,10.3,15.6687298113336
268,1,-20.5346749523184,15.7687298113336,10.3,15.7687298113336
269,1,-20.5346749523184,15.8687298113336,10.3,15.8687298113336
270,1,-20.5346749523184,15.9687298113336,10.3,15.9687298113336
271,1,-20.5346749523184,16.0687298113336,10.3,16.0687298113336
272,1,-20.5346749523184,16.1687298113336,10.3,16.1687298113336
273,1,-20.5346749523184,16.2687298113336,10.3,16.2687298113336
274,1,-20.5346749523184,16.3687298113336,10.3,16.3687298113336
275,1,-20.5346749523184,16.4687298113336,10.3,16.4687298113336
276,1,-20.5346749523184,16.5687298113336,10.3,16.5687298113336
277,1,-20.5346749523184,16.6687298113336,10.3,16.6687298113336
278,1,-20.5346749523184,16.7687298113336,10.3,16.7687298113336
279,1,-20.5346749523184,16.8687298113336,10.3,16.8687298113336
280,1,-20.5346749523184,16.9687298113336,10.3,16.9687298113336
281,1,-20.5346749523184,17.0687298113336,10.3,17.0687298113336
282,1,-20.5346749523184,17.1687298113336,10.3,17.1687298113336
283,1,-20.5346749523184,17.2687298113336,10.3,17.2687298113336
284,1,-20.5346749523184,17.3687298113336,10.3,17.3687298113336
285,1,-20.5346749523184,17.4687298113336,10.3,17.4687298113336
286,1,-20.5346749523184,17.5687298113336,10.3,17.5687298113336
287,1,-20.5346749523184,17.6687298113336,10.3,17.6687298113336
288,1,-20.5346749523184,17.7687298113336,10.3,17.7687298113336
289,1,-20.5346749523184,17.8687298113336,10.3,17.8687298113336
290,1,-20.5346749523184,17.9687298113336,10.3,17.9687298113336
291,1,-20.5346749523184,18.0687298113336,10.3,18.0687298113336
292,1,-20.5346749523184,18.1687298113336,10.3,18.1687298113336
293,1,-20.5346749523184,18.2687298113336,10.3,18.2687298113336
294,1,-20.5346749523184,18.3687298113336,10.3,18.3687298113336
295,1,-20.5346749523184,18.4687298113336,10.3,18.4687298113336
296,1,-20.5346749523184,18.5687298113336,10.3,18.5687298113336
